s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0500,0.3900,0.000000,1.016505,1.018890,1.000000,1.042124,0.988560,1.023387
0.0500,0.4000,0.000000,1.015467,1.018053,1.000000,1.039638,0.984934,1.021730
0.0500,0.4100,0.000000,1.031480,1.033988,1.000000,1.077062,1.025679,1.044718
0.0500,0.4200,0.000000,1.032731,1.035483,1.000000,1.080318,1.026913,1.046667
0.0500,0.4300,0.000000,1.034103,1.037133,1.000000,1.083911,1.028287,1.048818
0.0500,0.4400,0.000000,1.028279,1.030731,1.000000,1.069108,1.023096,1.040340
0.0500,0.4500,0.000000,1.024990,1.027188,1.000000,1.060910,1.020307,1.035649
0.0500,0.4600,0.000000,1.022775,1.024628,1.000000,1.054981,1.018108,1.031978
0.0500,0.4700,0.000000,1.021082,1.022868,1.000000,1.050880,1.016784,1.029661
0.0500,0.4800,0.000000,1.018475,1.020053,1.000000,1.044475,1.014633,1.025940
0.0500,0.4900,0.000000,1.016017,1.017388,1.000000,1.038456,1.012613,1.022418
0.0500,0.5000,0.000000,1.014310,1.015453,1.000000,1.034340,1.011189,1.019981
